,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Explanation,Reference
PLIN1,0,4.570974593,0.923,0.072,0,,Mature adipocyte marker,"Sztalryd, C., & Brasaemle, D. L. (2017). ""The Perilipin family of lipid droplet proteins: Gatekeepers of intracellular lipolysis."" Biochimica et Biophysica Acta."
SORBS1,0,4.545554955,0.94,0.111,0,,Adipocyte marker,"Emont, M. P., et al. (2022). ""A single-cell atlas of human and mouse white adipose tissue."" Nature."
TRHDE,0,4.410319309,0.91,0.082,0,,,
AQP7,0,4.615969783,0.858,0.046,0,,,
KCNIP2-AS1,0,6.24203682,0.839,0.028,0,,,
TRHDE-AS1,0,5.055744572,0.846,0.046,0,,,
GPAM,0,4.792335111,0.924,0.128,0,,Adipocyte marker,"Wendel, A. A., et al. (2009). ""Glycerol-3-phosphate acyltransferase 1 deficiency in mice and its effects on energy metabolism."" Journal of Lipid Research."
PDE3B,0,4.581510894,0.96,0.173,0,,,
AC018616.1,0,4.359634934,0.828,0.048,0,,,
SLC19A3,0,4.534975286,0.819,0.07,0,,,
LIPE-AS1,0,3.840229382,0.862,0.116,0,,,
AL356479.1,0,5.640749308,0.768,0.024,0,,,
RDH5,0,5.352269463,0.777,0.037,0,,,
ADIPOQ,0,3.618807307,0.869,0.13,0,,Mature adipocyte marker,"Emont, M. P., et al. (2022). ""A single-cell atlas of human and mouse white adipose tissue."" Nature."
ITGA7,0,4.492984197,0.777,0.038,0,,,
PNPLA2,0,3.739562966,0.82,0.084,0,,,
DIRC3,0,3.832518549,0.834,0.107,0,,,
PPARG,0,3.063231463,0.926,0.204,0,,,
COL4A2,0,2.981412497,0.897,0.177,0,,,
AC069208.1,0,2.721483685,0.93,0.219,0,,,
TENM3,0,3.450265161,0.82,0.11,0,,,
GYG2,0,5.328783622,0.744,0.036,0,,,
ACVR1C,0,5.363976927,0.734,0.027,0,,,
PRKAR2B,0,3.976134798,0.789,0.09,0,,,
01-Mar,0,4.728677408,0.733,0.034,0,,,
AC006387.1,0,5.277845159,0.729,0.035,0,,,
COL4A1,0,2.913690867,0.87,0.178,0,,,
HOOK2,0,3.363777811,0.822,0.137,0,,,
SOX5,0,2.692009165,0.849,0.167,0,,,
MLXIPL,0,4.192937221,0.718,0.046,0,,,
PCDH9,0,2.940590474,0.804,0.135,0,,,
LPL,0,3.392782373,0.803,0.135,0,,,
TNS1,0,2.833430471,0.875,0.216,0,,,
GPC6,0,3.097710093,0.761,0.103,0,,,
LIMCH1,0,2.750316937,0.846,0.188,0,,,
TMEM132C,0,2.692258214,0.869,0.214,0,,,
PALMD,0,2.332344902,0.821,0.166,0,,,
ACSL1,0,3.569149996,0.77,0.122,0,,,
CARMN,0,3.070094472,0.693,0.046,0,,,
CIDEA,0,3.928385053,0.688,0.042,0,,,
LIPE,0,3.566677765,0.71,0.064,0,,,
MIR193BHG,0,4.892337876,0.665,0.023,0,,,
GPD1,0,4.663832599,0.666,0.025,0,,,
ACACB,0,4.305435759,0.97,0.33,0,,,
PLA2G16,0,2.942694484,0.748,0.122,0,,,
PLIN4,0,3.748721853,0.681,0.055,0,,,
RHOBTB3,0,2.565276304,0.9,0.275,0,,,
LRP1B,0,4.624219676,0.735,0.117,0,,,
PDZRN3,0,2.378423407,0.845,0.231,0,,,
PFKFB3,0,2.714003828,0.791,0.181,0,,,
SIK2,0,3.31253089,0.938,0.33,0,,,
CD36,0,1.906655297,0.969,0.362,0,,,
LVRN,0,4.341263426,0.644,0.037,0,,,
PPP2R1B,0,3.485400305,0.708,0.106,0,,,
LINC00598,0,4.200758174,0.666,0.065,0,,,
BCL2,0,2.13515594,0.826,0.233,0,,,
ADIPOQ-AS1,0,3.429779271,0.641,0.052,0,,,
PECR,0,3.630208121,0.644,0.057,0,,,
DAPK2,0,3.463872635,0.646,0.06,0,,,
SLC16A7,0,2.487251905,0.762,0.183,0,,,
EBF1,0,2.701170598,0.985,0.407,0,,,
PTGER3,0,2.185530703,0.792,0.215,0,,,
ELMOD3,0,2.752996653,0.708,0.142,0,,,
PFKFB1,0,5.907440699,0.571,0.008,0,,,
GLRX,0,2.624585061,0.714,0.153,0,,,
KCNIP2,0,4.714324774,0.581,0.02,0,,,
C2CD2,0,2.680860622,0.687,0.127,0,,,
H2AFY2,0,3.638453701,0.626,0.066,0,,,
GNAI1,0,2.601070522,0.684,0.125,0,,,
PHLDB2,0,2.102791011,0.775,0.216,0,,,
GSE1,0,2.005734513,0.777,0.219,0,,,
PLIN5,0,5.175463111,0.574,0.016,0,,,
GHR,0,3.012536404,0.968,0.414,0,,,
MGST1,0,2.239085106,0.952,0.399,0,,,
CAT,0,2.10978964,0.736,0.184,0,,,
ERV3-1,0,3.257198235,0.62,0.07,0,,,
AC093110.1,0,2.028159416,0.771,0.225,0,,,
ACSS2,0,2.667997289,0.671,0.126,0,,,
SLC7A6OS,0,2.52957594,0.665,0.121,0,,,
KLB,0,4.476154342,0.563,0.022,0,,,
ADAMTS12,0,2.008852586,0.699,0.16,0,,,
GABRE,0,2.389977244,0.662,0.126,0,,,
CAV2,0,2.526582824,0.738,0.205,0,,,
FOXP2,0,1.734427496,0.661,0.128,0,,,
AP001528.2,0,1.897849018,0.742,0.215,0,,,
DMD,0,2.360039896,0.9,0.375,0,,,
MAPK10,0,1.757333265,0.927,0.403,0,,,
TGFBR3,0,1.904854681,0.75,0.227,0,,,
VKORC1L1,0,2.455689805,0.654,0.132,0,,,
ANO6,0,2.182532014,0.901,0.38,0,,,
CPM,0,2.509814095,0.654,0.133,0,,,
GBE1,0,1.963989727,0.778,0.257,0,,,
PALM2-AKAP2,0,4.68446018,0.539,0.018,0,,,
ZNF117,0,2.818891836,0.599,0.081,0,,,
AL139383.1,0,2.767544167,0.6,0.083,0,,,
GREB1L,0,2.948407169,0.596,0.08,0,,,
FERMT2,0,1.840898944,0.757,0.244,0,,,
SLC7A6,0,2.716897158,0.61,0.103,0,,,
ASPH,0,2.272025699,0.923,0.425,0,,,
LRIG1,0,3.046337029,0.572,0.074,0,,,
AC002066.1,0,2.544044509,0.628,0.131,0,,,
EEPD1,0,2.286766713,0.678,0.182,0,,,
ARHGAP24,0,1.529331873,0.846,0.35,0,,,
MMD,0,3.082976689,0.558,0.063,0,,,
TLN2,0,1.874779355,0.828,0.333,0,,,
G0S2,0,2.352769607,0.76,0.267,0,,,
THSD7A,0,1.718378085,0.741,0.248,0,,,
MAOA,0,2.96007742,0.569,0.078,0,,,
PXDN,0,1.998527431,0.652,0.162,0,,,
PTPRS,0,1.629474833,0.703,0.216,0,,,
SLC25A16,0,2.38827264,0.613,0.126,0,,,
IRS2,0,2.916967301,0.56,0.077,0,,,
PRSS23,0,1.912175828,0.91,0.428,0,,,
SORT1,0,3.036198454,0.53,0.048,0,,,
AL365295.1,0,2.603723177,0.551,0.07,0,,,
PRKG1,0,-4.051796565,0.285,0.765,0,,,
RETSAT,0,2.73711905,0.544,0.064,0,,,
AC004160.1,0,1.669044731,0.802,0.323,0,,,
CALCRL,0,2.628696858,0.603,0.126,0,,,
ACSS3,0,2.037561947,0.641,0.165,0,,,
MGEA5,0,1.786730777,0.845,0.369,0,,,
GLCCI1,0,2.523865955,0.587,0.112,0,,,
PRICKLE2,0,1.869592321,0.746,0.271,0,,,
ARHGAP6,0,-4.293754741,0.104,0.578,0,,,
HSDL2,0,1.788462192,0.642,0.169,0,,,
ADIPOR2,0,1.878510416,0.665,0.193,0,,,
AIFM2,0,3.248012916,0.519,0.047,0,,,
AC098829.1,0,2.060633001,0.641,0.169,0,,,
EYS,0,1.893090614,0.635,0.163,0,,,
DLC1,0,1.017525289,0.831,0.361,0,,,
DOCK4,0,-3.809001388,0.159,0.629,0,,,
FZD4,0,2.154767171,0.587,0.117,0,,,
PPP2R5A,0,1.992068863,0.625,0.155,0,,,
BCL6,0,1.914053116,0.607,0.138,0,,,
RTN3,0,1.627908432,0.724,0.255,0,,,
HOXB-AS1,0,2.875560727,0.521,0.059,0,,,
SESTD1,0,1.553977454,0.665,0.203,0,,,
SLC1A3,0,2.686838376,0.539,0.077,0,,,
GPT2,0,4.836018628,0.478,0.016,0,,,
AL360091.3,0,2.41928386,0.557,0.097,0,,,
FABP4,0,1.4006806,0.951,0.491,0,,,
PC,0,4.440969899,0.479,0.019,0,,,
CSAD,0,1.716858156,0.636,0.178,0,,,
AC007529.2,0,3.73796682,0.493,0.036,0,,,
CTIF,0,1.691610507,0.688,0.231,0,,,
LMO3,0,2.021346278,0.549,0.093,0,,,
ACO1,0,2.020097719,0.583,0.127,0,,,
AGPAT2,0,2.447529894,0.519,0.065,0,,,
CIDEC,0,4.419001428,0.467,0.015,0,,,
FRMD4A,0,1.629224741,0.901,0.449,0,,,
TMEM135,0,1.538464889,0.763,0.311,0,,,
ITIH5,0,1.786808229,0.575,0.123,0,,,
MEST,0,2.403139603,0.57,0.119,0,,,
AP000311.1,0,1.609199197,0.867,0.417,0,,,
GRK3,0,2.481559356,0.767,0.318,0,,,
BICC1,0,-4.178718961,0.102,0.548,0,,,
SH3KBP1,0,1.801007031,0.603,0.158,0,,,
ATP1A2,0,4.666308588,0.46,0.016,0,,,
AC104827.1,0,2.581330183,0.51,0.067,0,,,
AL157392.2,0,3.268250201,0.483,0.041,0,,,
ACER3,0,1.700419696,0.617,0.177,0,,,
COBLL1,0,1.543903524,0.894,0.454,0,,,
AC092839.1,0,1.747802287,0.61,0.17,0,,,
MDFIC,0,1.370648808,0.736,0.297,0,,,
DHRS3,0,1.431379444,0.617,0.18,0,,,
LIMA1,0,1.684281425,0.954,0.517,0,,,
NPY1R,0,2.143849487,0.523,0.087,0,,,
FIGN,0,1.201528973,0.705,0.27,0,,,
PPP1R12B,0,1.513407347,0.833,0.398,0,,,
BNIP3L,0,1.457851682,0.646,0.212,0,,,
LINC02237,0,3.430417129,0.453,0.019,0,,,
FAM13A,0,1.769074453,0.874,0.441,0,,,
SLTM,0,1.309538349,0.758,0.325,0,,,
THRB,0,1.131991075,0.775,0.343,0,,,
ARHGEF6,0,2.216877583,0.525,0.094,0,,,
STARD13,0,0.694109076,0.66,0.229,0,,,
STARD13-AS,0,1.543431493,0.55,0.119,0,,,
RNF111,0,1.349523631,0.857,0.426,0,,,
TMEM164,0,2.628354765,0.558,0.128,0,,,
TWIST2,0,1.865138908,0.554,0.126,0,,,
ABCA5,0,1.341294176,0.638,0.211,0,,,
EPB41L3,0,1.893860287,0.624,0.197,0,,,
PSMA1,0,2.389099043,0.512,0.087,0,,,
PTPRM,0,0.42575886,0.772,0.347,0,,,
AC108062.1,0,2.266291224,0.52,0.097,0,,,
TEAD1,0,1.116992652,0.816,0.394,0,,,
LINC01301,0,3.25327676,0.46,0.041,0,,,
ALDH1L1,0,3.474227449,0.451,0.034,0,,,
EYA2,0,1.307078756,0.553,0.136,0,,,
ANGPT1,0,2.199697853,0.502,0.085,0,,,
PHLDB1,0,1.587053047,0.576,0.159,0,,,
RASGRF2,0,2.038781471,0.481,0.065,0,,,
AC131025.2,0,2.933405763,0.437,0.022,0,,,
CLMP,0,1.594886167,0.618,0.203,0,,,
PDE4D,0,-3.693553952,0.196,0.611,0,,,
APOL6,0,2.453826325,0.493,0.079,0,,,
FAM213A,0,1.899920939,0.498,0.084,0,,,
ZBTB16,0,0.532002117,0.673,0.26,0,,,
PCDH9-AS2,0,3.535135599,0.441,0.028,0,,,
